	peptide count	description
O60229-5	15	Isoform 5 of Kalirin OS=Homo sapiens GN=KALRN
Q8NB59-6	9	Isoform 6 of Synaptotagmin-14 OS=Homo sapiens GN=SYT14
P38646	19	Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9
Q9Y573-2	4	Isoform 2 of Actin-binding protein IPP OS=Homo sapiens GN=IPP
Q8NB59-3	10	Isoform 3 of Synaptotagmin-14 OS=Homo sapiens GN=SYT14
Q9Y6L7	9	Tolloid-like protein 2 OS=Homo sapiens GN=TLL2
Q6S8J3-1	24	Isoform 1 of POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE
Q5D862	5	Filaggrin-2 OS=Homo sapiens GN=FLG2
Q9UKJ1-1	2	Isoform 1 of Paired immunoglobulin-like type 2 receptor alpha OS=Homo sapiens GN=PILRA
Q8NB59-5	9	Isoform 5 of Synaptotagmin-14 OS=Homo sapiens GN=SYT14
Q96M42	2	Putative uncharacterized protein encoded by LINC00479 OS=Homo sapiens GN=LINC00479
P10809	9	60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1
Q9UJU3-1	7	Isoform 1 of Zinc finger protein 112 homolog OS=Homo sapiens GN=ZFP112
Q9HC77	29	Centromere protein J OS=Homo sapiens GN=CENPJ
P56159-1	8	Isoform 1 of GDNF family receptor alpha-1 OS=Homo sapiens GN=GFRA1
Q96PD6	2	2-acylglycerol O-acyltransferase 1 OS=Homo sapiens GN=MOGAT1
P00739-1	9	Isoform 1 of Haptoglobin-related protein OS=Homo sapiens GN=HPR
Q53SF7-1	17	Isoform 1 of Cordon-bleu protein-like 1 OS=Homo sapiens GN=COBLL1
Q7Z3E1	6	TCDD-inducible poly [ADP-ribose] polymerase OS=Homo sapiens GN=TIPARP
Q9Y6N6	4	Laminin subunit gamma-3 OS=Homo sapiens GN=LAMC3
O60487	4	Myelin protein zero-like protein 2 OS=Homo sapiens GN=MPZL2
Q96QE3-1	62	Isoform 1 of ATPase family AAA domain-containing protein 5 OS=Homo sapiens GN=ATAD5
Q6EMK4	3	Vasorin OS=Homo sapiens GN=VASN
P09382	6	Galectin-1 OS=Homo sapiens GN=LGALS1
P05160	5	Coagulation factor XIII B chain OS=Homo sapiens GN=F13B
Q9BRN9-1	4	Isoform 1 of TM2 domain-containing protein 3 OS=Homo sapiens GN=TM2D3
Q6UXH1-5	6	Isoform 5 of Cysteine-rich with EGF-like domain protein 2 OS=Homo sapiens GN=CRELD2
Q8TCG1-1	11	Isoform 1 of Protein CIP2A OS=Homo sapiens GN=KIAA1524
P11047	33	Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1
Q9UPQ0-3	18	Isoform 3 of LIM and calponin homology domains-containing protein 1 OS=Homo sapiens GN=LIMCH1
P05109	3	Protein S100-A8 OS=Homo sapiens GN=S100A8
Q9Y3F4	1	Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP
P01591	3	Immunoglobulin J chain OS=Homo sapiens GN=IGJ
Q8IY85-1	24	Isoform 1 of EF-hand calcium-binding domain-containing protein 13 OS=Homo sapiens GN=EFCAB13
O75366-1	7	Isoform 1 of Advillin OS=Homo sapiens GN=AVIL
Q9Y5F8-1	12	Isoform 1 of Protocadherin gamma-B7 OS=Homo sapiens GN=PCDHGB7
P05997	8	Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2
Q9Y4E5-1	11	Isoform 1 of Zinc finger protein 451 OS=Homo sapiens GN=ZNF451
Q96RL7-3	35	Isoform 3 of Vacuolar protein sorting-associated protein 13A OS=Homo sapiens GN=VPS13A
Q13433-1	8	Isoform 1 of Zinc transporter ZIP6 OS=Homo sapiens GN=SLC39A6
Q14314	13	Fibroleukin OS=Homo sapiens GN=FGL2
P02461-1	18	Isoform 1 of Collagen alpha-1(III) chain OS=Homo sapiens GN=COL3A1
Q5SW96	2	Low density lipoprotein receptor adapter protein 1 OS=Homo sapiens GN=LDLRAP1
P06703	1	Protein S100-A6 OS=Homo sapiens GN=S100A6
P40199	4	Carcinoembryonic antigen-related cell adhesion molecule 6 OS=Homo sapiens GN=CEACAM6
Q9UEE9-1	3	Isoform 1 of Craniofacial development protein 1 OS=Homo sapiens GN=CFDP1
P49006	1	MARCKS-related protein OS=Homo sapiens GN=MARCKSL1
Q6N043-4	15	Isoform 4 of Zinc finger protein 280D OS=Homo sapiens GN=ZNF280D
Q9Y210-1	14	Isoform 1 of Short transient receptor potential channel 6 OS=Homo sapiens GN=TRPC6
Q86XA9-1	8	Isoform 1 of HEAT repeat-containing protein 5A OS=Homo sapiens GN=HEATR5A
O15067	3	Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS
P20813	3	Cytochrome P450 2B6 OS=Homo sapiens GN=CYP2B6
P04433	1	Ig kappa chain V-III region VG (Fragment) OS=Homo sapiens
O95302	10	Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens GN=FKBP9
Q6ZMP0-3	2	Isoform 3 of Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens GN=THSD4
O60229-1	30	Isoform 1 of Kalirin OS=Homo sapiens GN=KALRN
O14737	2	Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5
Q9Y2Q3-2	1	Isoform 2 of Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1
P48449	4	Lanosterol synthase OS=Homo sapiens GN=LSS
P02042	7	Hemoglobin subunit delta OS=Homo sapiens GN=HBD
Q9NZM6-5	9	Isoform 5 of Polycystic kidney disease 2-like 2 protein OS=Homo sapiens GN=PKD2L2
O14773-1	3	Isoform 1 of Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1
Q8IYT3	24	Coiled-coil domain-containing protein 170 OS=Homo sapiens GN=CCDC170
Q02985-2	3	Isoform 2 of Complement factor H-related protein 3 OS=Homo sapiens GN=CFHR3
P23229-1	10	Isoform Alpha-6X1X2B of Integrin alpha-6 OS=Homo sapiens GN=ITGA6
P10643	16	Complement component C7 OS=Homo sapiens GN=C7
P08670	18	Vimentin OS=Homo sapiens GN=VIM
Q8TAM6-2	9	Isoform 2 of Ermin OS=Homo sapiens GN=ERMN
P56199	17	Integrin alpha-1 OS=Homo sapiens GN=ITGA1
Q5JW98-3	4	Isoform 3 of Protein FAM26D OS=Homo sapiens GN=FAM26D
Q9H5J0	1	Zinc finger and BTB domain-containing protein 3 OS=Homo sapiens GN=ZBTB3
Q6UXH9-2	4	Isoform 2 of Inactive serine protease PAMR1 OS=Homo sapiens GN=PAMR1
P68032	4	Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1
P55290-1	5	Isoform 1 of Cadherin-13 OS=Homo sapiens GN=CDH13
Q9HCU4	18	Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens GN=CELSR2
P00738	15	Haptoglobin OS=Homo sapiens GN=HP
Q9P0K1-4	18	Isoform 4 of Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens GN=ADAM22
Q07000	3	HLA class I histocompatibility antigen, Cw-15 alpha chain OS=Homo sapiens GN=HLA-C
P00451-1	37	Isoform 1 of Coagulation factor VIII OS=Homo sapiens GN=F8
P35613-3	7	Isoform 3 of Basigin OS=Homo sapiens GN=BSG
P02679-1	6	Isoform Gamma-B of Fibrinogen gamma chain OS=Homo sapiens GN=FGG
Q4LDE5-1	23	Isoform 1 of Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1
P28161	3	Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2
Q15904	2	V-type proton ATPase subunit S1 OS=Homo sapiens GN=ATP6AP1
P30086	1	Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1
P0C7L1	2	Serine protease inhibitor Kazal-type 8 OS=Homo sapiens GN=SPINK8
O00398	2	Putative P2Y purinoceptor 10 OS=Homo sapiens GN=P2RY10
P08195-1	6	Isoform 1 of 4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2
P20023-3	14	Isoform C of Complement receptor type 2 OS=Homo sapiens GN=CR2
P78386	8	Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85
P14416-1	8	Isoform 1 of D(2) dopamine receptor OS=Homo sapiens GN=DRD2
P08493	3	Matrix Gla protein OS=Homo sapiens GN=MGP
Q9Y5H1-1	13	Isoform 1 of Protocadherin gamma-A2 OS=Homo sapiens GN=PCDHGA2
Q93091	1	Ribonuclease K6 OS=Homo sapiens GN=RNASE6
Q92954-1	8	Isoform A of Proteoglycan 4 OS=Homo sapiens GN=PRG4
P26599-1	4	Isoform 1 of Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1
Q08380	12	Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP
Q99571	10	P2X purinoceptor 4 OS=Homo sapiens GN=P2RX4
P04216	8	Thy-1 membrane glycoprotein OS=Homo sapiens GN=THY1
Q9P0K1-2	19	Isoform 2 of Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens GN=ADAM22
P31947-1	2	Isoform 1 of 14-3-3 protein sigma OS=Homo sapiens GN=SFN
Q15596	19	Nuclear receptor coactivator 2 OS=Homo sapiens GN=NCOA2
P01861	6	Ig gamma-4 chain C region OS=Homo sapiens GN=IGHG4
P07998	7	Ribonuclease pancreatic OS=Homo sapiens GN=RNASE1
Q68DK2-4	7	Isoform 4 of Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens GN=ZFYVE26
Q8NDY3-1	3	Isoform 1 of [Protein ADP-ribosylarginine] hydrolase-like protein 1 OS=Homo sapiens GN=ADPRHL1
Q8N7X2-3	5	Isoform 3 of Uncharacterized protein C9orf173 OS=Homo sapiens GN=C9orf173
O60658-3	3	Isoform 3 of High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A OS=Homo sapiens GN=PDE8A
P57087	6	Junctional adhesion molecule B OS=Homo sapiens GN=JAM2
Q9UJJ7	3	RNA pseudouridylate synthase domain-containing protein 1 OS=Homo sapiens GN=RPUSD1
Q9NY35-1	4	Isoform 1 of Claudin domain-containing protein 1 OS=Homo sapiens GN=CLDND1
Q15758-1	2	Isoform 1 of Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5
P12035	14	Keratin, type II cytoskeletal 3 OS=Homo sapiens GN=KRT3
Q12766	8	HMG domain-containing protein 3 OS=Homo sapiens GN=HMGXB3
Q96DT5	44	Dynein heavy chain 11, axonemal OS=Homo sapiens GN=DNAH11
P51888	10	Prolargin OS=Homo sapiens GN=PRELP
Q9NYY8-1	7	Isoform 1 of FAST kinase domain-containing protein 2 OS=Homo sapiens GN=FASTKD2
P54284-1	6	Isoform 3A of Voltage-dependent L-type calcium channel subunit beta-3 OS=Homo sapiens GN=CACNB3
P0CG39	21	POTE ankyrin domain family member J OS=Homo sapiens GN=POTEJ
O15123-1	11	Isoform 1 of Angiopoietin-2 OS=Homo sapiens GN=ANGPT2
Q9Y5F9-1	12	Isoform 1 of Protocadherin gamma-B6 OS=Homo sapiens GN=PCDHGB6
P15514	5	Amphiregulin OS=Homo sapiens GN=AREG
P13598	4	Intercellular adhesion molecule 2 OS=Homo sapiens GN=ICAM2
Q8N4C6-6	29	Isoform 6 of Ninein OS=Homo sapiens GN=NIN
P20929	172	Nebulin OS=Homo sapiens GN=NEB
P22914	1	Beta-crystallin S OS=Homo sapiens GN=CRYGS
Q99102-17	11	Isoform 17 of Mucin-4 OS=Homo sapiens GN=MUC4
P02763	3	Alpha-1-acid glycoprotein 1 OS=Homo sapiens GN=ORM1
Q5VV16	2	Forkhead box protein D4-like 5 OS=Homo sapiens GN=FOXD4L5
Q9H3P7	5	Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3
P13760	2	HLA class II histocompatibility antigen, DRB1-4 beta chain OS=Homo sapiens GN=HLA-DRB1
P11279	14	Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1
Q14978-2	9	Isoform Beta of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1
Q01459	4	Di-N-acetylchitobiase OS=Homo sapiens GN=CTBS
O15123-2	11	Isoform 3 of Angiopoietin-2 OS=Homo sapiens GN=ANGPT2
Q96RL7-2	30	Isoform 2 of Vacuolar protein sorting-associated protein 13A OS=Homo sapiens GN=VPS13A
Q15029-1	6	Isoform 1 of 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2
Q9Y5H4-1	11	Isoform 1 of Protocadherin gamma-A1 OS=Homo sapiens GN=PCDHGA1
P27816-5	6	Isoform 5 of Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4
P28838-1	7	Isoform 1 of Cytosol aminopeptidase OS=Homo sapiens GN=LAP3
P20393	11	Nuclear receptor subfamily 1 group D member 1 OS=Homo sapiens GN=NR1D1
P04217-1	3	Isoform 1 of Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG
Q9BXL7	35	Caspase recruitment domain-containing protein 11 OS=Homo sapiens GN=CARD11
P43246	20	DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2
Q15276-2	20	Isoform 2 of Rab GTPase-binding effector protein 1 OS=Homo sapiens GN=RABEP1
P20851-1	3	Isoform 1 of C4b-binding protein beta chain OS=Homo sapiens GN=C4BPB
P49458-1	1	Isoform 1 of Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9
Q9NS56-2	25	Isoform 2 of E3 ubiquitin-protein ligase Topors OS=Homo sapiens GN=TOPORS
P51587	70	Breast cancer type 2 susceptibility protein OS=Homo sapiens GN=BRCA2
Q9ULG6-1	17	Isoform 1 of Cell cycle progression protein 1 OS=Homo sapiens GN=CCPG1
Q5H9F3-3	12	Isoform 3 of BCL-6 corepressor-like protein 1 OS=Homo sapiens GN=BCORL1
Q9Y5F7-1	10	Isoform 1 of Protocadherin gamma-C4 OS=Homo sapiens GN=PCDHGC4
O15320-5	16	Isoform 6 of Cutaneous T-cell lymphoma-associated antigen 5 OS=Homo sapiens GN=CTAGE5
Q6UXD5-4	4	Isoform 4 of Seizure 6-like protein 2 OS=Homo sapiens GN=SEZ6L2
Q9UN76	1	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) OS=Homo sapiens GN=SLC6A14
Q9NZP8	4	Complement C1r subcomponent-like protein OS=Homo sapiens GN=C1RL
P54108-1	4	Isoform 1 of Cysteine-rich secretory protein 3 OS=Homo sapiens GN=CRISP3
Q8IY85-2	16	Isoform 2 of EF-hand calcium-binding domain-containing protein 13 OS=Homo sapiens GN=EFCAB13
Q86V35	4	Calcium-binding protein 7 OS=Homo sapiens GN=CABP7
Q9ULL8-1	16	Isoform 1 of Protein Shroom4 OS=Homo sapiens GN=SHROOM4
O14776-1	17	Isoform 1 of Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1
Q10588	2	ADP-ribosyl cyclase 2 OS=Homo sapiens GN=BST1
P12109	9	Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1
Q8IWS0-1	3	Isoform 1 of PHD finger protein 6 OS=Homo sapiens GN=PHF6
Q9Y5F6-1	12	Isoform 1 of Protocadherin gamma-C5 OS=Homo sapiens GN=PCDHGC5
A6NHJ4	10	Zinc finger protein 860 OS=Homo sapiens GN=ZNF860
Q9Y5Z4-1	5	Isoform 1 of Heme-binding protein 2 OS=Homo sapiens GN=HEBP2
Q9NZL6-1	18	Isoform A of Ral guanine nucleotide dissociation stimulator-like 1 OS=Homo sapiens GN=RGL1
P47870-2	7	Isoform 1 of Gamma-aminobutyric acid receptor subunit beta-2 OS=Homo sapiens GN=GABRB2
Q9H0V1	5	Transmembrane protein 168 OS=Homo sapiens GN=TMEM168
Q99470	2	Stromal cell-derived factor 2 OS=Homo sapiens GN=SDF2
Q9UBU2	1	Dickkopf-related protein 2 OS=Homo sapiens GN=DKK2
Q9C0C9	14	Ubiquitin-conjugating enzyme E2 O OS=Homo sapiens GN=UBE2O
Q969T7	4	Cytosolic 5'-nucleotidase III-like protein OS=Homo sapiens GN=NT5C3L
P13762	1	HLA class II histocompatibility antigen, DR beta 4 chain OS=Homo sapiens GN=HLA-DRB4
Q5SYE7-1	20	Isoform 1 of NHS-like protein 1 OS=Homo sapiens GN=NHSL1
P09211	4	Glutathione S-transferase P OS=Homo sapiens GN=GSTP1
P48960-1	11	Isoform 1 of CD97 antigen OS=Homo sapiens GN=CD97
P26006-1	9	Isoform 2 of Integrin alpha-3 OS=Homo sapiens GN=ITGA3
O95858	2	Tetraspanin-15 OS=Homo sapiens GN=TSPAN15
Q9HD67	26	Unconventional myosin-X OS=Homo sapiens GN=MYO10
Q9H0U9	3	Testis-specific Y-encoded-like protein 1 OS=Homo sapiens GN=TSPYL1
P19440-1	4	Isoform 1 of Gamma-glutamyltranspeptidase 1 OS=Homo sapiens GN=GGT1
P13987	5	CD59 glycoprotein OS=Homo sapiens GN=CD59
P10646-1	6	Isoform Alpha of Tissue factor pathway inhibitor OS=Homo sapiens GN=TFPI
Q92954-3	6	Isoform C of Proteoglycan 4 OS=Homo sapiens GN=PRG4
Q6P4A8	10	Phospholipase B-like 1 OS=Homo sapiens GN=PLBD1
Q8N7U6-1	14	Isoform 1 of EF-hand domain-containing family member B OS=Homo sapiens GN=EFHB
Q04826	6	HLA class I histocompatibility antigen, B-40 alpha chain OS=Homo sapiens GN=HLA-B
Q5CZC0-1	99	Isoform 1 of Fibrous sheath-interacting protein 2 OS=Homo sapiens GN=FSIP2
Q15075	25	Early endosome antigen 1 OS=Homo sapiens GN=EEA1
Q9BSJ6-1	5	Isoform 1 of Protein FAM64A OS=Homo sapiens GN=FAM64A
P19652	3	Alpha-1-acid glycoprotein 2 OS=Homo sapiens GN=ORM2
Q96SM3	6	Probable carboxypeptidase X1 OS=Homo sapiens GN=CPXM1
P13611-5	18	Isoform Vint of Versican core protein OS=Homo sapiens GN=VCAN
Q12789-2	29	Isoform 1 of General transcription factor 3C polypeptide 1 OS=Homo sapiens GN=GTF3C1
Q9Y5Y7	8	Lymphatic vessel endothelial hyaluronic acid receptor 1 OS=Homo sapiens GN=LYVE1
Q66K66	1	Transmembrane protein 198 OS=Homo sapiens GN=TMEM198
P27487	15	Dipeptidyl peptidase 4 OS=Homo sapiens GN=DPP4
Q9BYX7	4	Putative beta-actin-like protein 3 OS=Homo sapiens GN=POTEKP
Q9BQP7	6	Uncharacterized protein C20orf72 OS=Homo sapiens GN=C20orf72
P29401	4	Transketolase OS=Homo sapiens GN=TKT
P35900	4	Keratin, type I cytoskeletal 20 OS=Homo sapiens GN=KRT20
Q9H4G0-2	15	Isoform 2 of Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1
Q14767	8	Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens GN=LTBP2
Q86VB7-2	12	Isoform 2 of Scavenger receptor cysteine-rich type 1 protein M130 OS=Homo sapiens GN=CD163
Q6V1P9-3	4	Isoform 3 of Protocadherin-23 OS=Homo sapiens GN=DCHS2
P32942	5	Intercellular adhesion molecule 3 OS=Homo sapiens GN=ICAM3
P02794	3	Ferritin heavy chain OS=Homo sapiens GN=FTH1
Q9P2B2	8	Prostaglandin F2 receptor negative regulator OS=Homo sapiens GN=PTGFRN
Q8TEH3-1	4	Isoform 1 of DENN domain-containing protein 1A OS=Homo sapiens GN=DENND1A
Q9P0K1-3	19	Isoform 3 of Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens GN=ADAM22
Q9BTC0-4	26	Isoform 4 of Death-inducer obliterator 1 OS=Homo sapiens GN=DIDO1
Q8TCB7-1	6	Isoform 1 of Methyltransferase-like protein 6 OS=Homo sapiens GN=METTL6
P09493-5	2	Isoform 5 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1
Q9H4D0	9	Calsyntenin-2 OS=Homo sapiens GN=CLSTN2
Q8NBN3-1	8	Isoform 1 of Transmembrane protein 87A OS=Homo sapiens GN=TMEM87A
Q9BZJ0-1	10	Isoform 1 of Crooked neck-like protein 1 OS=Homo sapiens GN=CRNKL1
P78406	5	mRNA export factor OS=Homo sapiens GN=RAE1
P58004	4	Sestrin-2 OS=Homo sapiens GN=SESN2
Q13308-6	7	Isoform 6 of Inactive tyrosine-protein kinase 7 OS=Homo sapiens GN=PTK7
Q13683-9	10	Isoform Alpha-7X2DB of Integrin alpha-7 OS=Homo sapiens GN=ITGA7
O60359	5	Voltage-dependent calcium channel gamma-3 subunit OS=Homo sapiens GN=CACNG3
O95843-2	5	Isoform 2 of Guanylyl cyclase-activating protein 3 OS=Homo sapiens GN=GUCA1C
P53634-1	6	Isoform 1 of Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC
O96009	2	Napsin-A OS=Homo sapiens GN=NAPSA
P56211-1	4	Isoform ARPP-19 of cAMP-regulated phosphoprotein 19 OS=Homo sapiens GN=ARPP19
Q8NBP5	4	Major facilitator superfamily domain-containing protein 9 OS=Homo sapiens GN=MFSD9
P02790	4	Hemopexin OS=Homo sapiens GN=HPX
Q9C019-1	1	Isoform 1 of Tripartite motif-containing protein 15 OS=Homo sapiens GN=TRIM15
Q14190-1	8	Isoform SIM2 of Single-minded homolog 2 OS=Homo sapiens GN=SIM2
Q6KCM7-4	3	Isoform 4 of Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Homo sapiens GN=SLC25A25
P01871-1	4	Isoform 1 of Ig mu chain C region OS=Homo sapiens GN=IGHM
P25391	42	Laminin subunit alpha-1 OS=Homo sapiens GN=LAMA1
P08107-1	7	Isoform 1 of Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A
P13726-1	3	Isoform 1 of Tissue factor OS=Homo sapiens GN=F3
P30685	5	HLA class I histocompatibility antigen, B-35 alpha chain OS=Homo sapiens GN=HLA-B
Q8IWU9-2	7	Isoform b of Tryptophan 5-hydroxylase 2 OS=Homo sapiens GN=TPH2
P68133	6	Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1
Q01995	9	Transgelin OS=Homo sapiens GN=TAGLN
Q9NQ36-2	8	Isoform 2 of Signal peptide, CUB and EGF-like domain-containing protein 2 OS=Homo sapiens GN=SCUBE2
Q2KHR3-1	20	Isoform 1 of Glutamine and serine-rich protein 1 OS=Homo sapiens GN=QSER1
Q6YHK3-1	15	Isoform 1 of CD109 antigen OS=Homo sapiens GN=CD109
A4FU28	15	Cutaneous T-cell lymphoma-associated antigen 9 OS=Homo sapiens GN=CTAGE9
P22413	13	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 OS=Homo sapiens GN=ENPP1
Q460N5-3	20	Isoform 3 of Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14
Q6ICG6-1	7	Isoform 1 of Uncharacterized protein KIAA0930 OS=Homo sapiens GN=KIAA0930
O60343-3	26	Isoform 3 of TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4
O75882-3	17	Isoform 3 of Attractin OS=Homo sapiens GN=ATRN
P08185	2	Corticosteroid-binding globulin OS=Homo sapiens GN=SERPINA6
Q9BXN1	11	Asporin OS=Homo sapiens GN=ASPN
Q96RQ9-2	8	Isoform 2 of L-amino-acid oxidase OS=Homo sapiens GN=IL4I1
Q9P0K1-1	19	Isoform 1 of Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens GN=ADAM22
P02788-1	8	Isoform 1 of Lactotransferrin OS=Homo sapiens GN=LTF
Q9ULV0	31	Unconventional myosin-Vb OS=Homo sapiens GN=MYO5B
P61978-2	2	Isoform 2 of Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK
O14686-1	27	Isoform 1 of Histone-lysine N-methyltransferase MLL2 OS=Homo sapiens GN=MLL2
Q8NE71-1	13	Isoform 1 of ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1
Q9H4F8-1	5	Isoform 1 of SPARC-related modular calcium-binding protein 1 OS=Homo sapiens GN=SMOC1
O75882-1	17	Isoform 1 of Attractin OS=Homo sapiens GN=ATRN
O15027-1	14	Isoform 1 of Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A
Q9Y653-1	1	Isoform 1 of G-protein coupled receptor 56 OS=Homo sapiens GN=GPR56
Q9HCE3	17	Zinc finger protein 532 OS=Homo sapiens GN=ZNF532
Q09013-2	7	Isoform 8 of Myotonin-protein kinase OS=Homo sapiens GN=DMPK
P42166-1	8	Isoform Alpha of Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO
Q7Z794	12	Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77
Q9UHX3-1	6	Isoform 1 of EGF-like module-containing mucin-like hormone receptor-like 2 OS=Homo sapiens GN=EMR2
Q03001-7	103	Isoform 1 of Dystonin OS=Homo sapiens GN=DST
O15381-2	9	Isoform 2 of Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL
Q9Y4C4	5	Malignant fibrous histiocytoma-amplified sequence 1 OS=Homo sapiens GN=MFHAS1
Q9P273	20	Teneurin-3 OS=Homo sapiens GN=TENM3
Q9P2G3-2	2	Isoform 2 of Kelch-like protein 14 OS=Homo sapiens GN=KLHL14
P06733-1	9	Isoform alpha-enolase of Alpha-enolase OS=Homo sapiens GN=ENO1
Q96RL7-4	30	Isoform 4 of Vacuolar protein sorting-associated protein 13A OS=Homo sapiens GN=VPS13A
Q7Z6M3-1	10	Isoform 1 of Allergin-1 OS=Homo sapiens GN=MILR1
O94763-3	10	Isoform 3 of Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1
Q53FA7-1	6	Isoform 1 of Quinone oxidoreductase PIG3 OS=Homo sapiens GN=TP53I3
Q8NGI4	2	Olfactory receptor 4D11 OS=Homo sapiens GN=OR4D11
O60343-1	26	Isoform 1 of TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4
O95758-6	7	Isoform 6 of Polypyrimidine tract-binding protein 3 OS=Homo sapiens GN=PTBP3
Q8WVJ2	1	NudC domain-containing protein 2 OS=Homo sapiens GN=NUDCD2
Q9Y623	47	Myosin-4 OS=Homo sapiens GN=MYH4
Q9Y644	3	Beta-1,3-N-acetylglucosaminyltransferase radical fringe OS=Homo sapiens GN=RFNG
Q562R1	5	Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2
Q9NYQ6-1	29	Isoform 1 of Cadherin EGF LAG seven-pass G-type receptor 1 OS=Homo sapiens GN=CELSR1
P07996	10	Thrombospondin-1 OS=Homo sapiens GN=THBS1
Q6UVK1	8	Chondroitin sulfate proteoglycan 4 OS=Homo sapiens GN=CSPG4
Q9C026-4	8	Isoform 4 of E3 ubiquitin-protein ligase TRIM9 OS=Homo sapiens GN=TRIM9
O75937	3	DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8
P03956	8	Interstitial collagenase OS=Homo sapiens GN=MMP1
Q02224-3	76	Isoform 3 of Centromere-associated protein E OS=Homo sapiens GN=CENPE
Q8TBP5	1	Membrane protein FAM174A OS=Homo sapiens GN=FAM174A
Q96LQ0	12	Protein phosphatase 1 regulatory subunit 36 OS=Homo sapiens GN=PPP1R36
Q8N0Z9-1	1	Isoform 1 of V-set and immunoglobulin domain-containing protein 10 OS=Homo sapiens GN=VSIG10
Q9P2P6-1	54	Isoform 1 of StAR-related lipid transfer protein 9 OS=Homo sapiens GN=STARD9
P00915	3	Carbonic anhydrase 1 OS=Homo sapiens GN=CA1
P26439-2	7	Isoform 2 of 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 OS=Homo sapiens GN=HSD3B2
Q8IXS2-1	11	Isoform 1 of Coiled-coil domain-containing protein 65 OS=Homo sapiens GN=CCDC65
